scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,1,505,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,19047.7965015548,5.4065740546,90.1496414969
1,0.145038167939,1,MONTHLY,1,505,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,19047.7965015548,5.4065740546,90.1496414969
1,0.145038167939,1,MONTHLY,1,511,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,19695.0832716990,5.4065740546,104.1454374969
1,0.145038167939,1,MONTHLY,1,511,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,19695.0832716990,5.4065740546,104.1454374969
1,0.145038167939,1,MONTHLY,1,517,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,20342.3700418432,5.4065740546,271.1653624969
1,0.145038167939,1,MONTHLY,1,517,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,20342.3700418432,5.4065740546,271.1653624969
1,0.145038167939,1,MONTHLY,1,523,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,20989.6568119874,5.4065740546,194.6888894969
1,0.145038167939,1,MONTHLY,1,523,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,20989.6568119874,5.4065740546,194.6888894969
1,0.145038167939,1,MONTHLY,1,673,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,89.5359300000,89.5359300000,26931.6992660966,4.6681037281,4.6681037281
1,0.145038167939,1,MONTHLY,1,673,DEC,87.1416494997,87.1416494997,1.0000000000,0.0000000000,89.5359300000,89.5359300000,26931.6992660966,4.6681037281,4.6681037281
1,0.145038167939,1,MONTHLY,1,679,INC,104.3343513004,104.3343513307,1.0000000003,-0.0000000303,2.3942805003,2.3942805003,21272.0567381161,2.3942805003,8.0730710000
1,0.145038167939,1,MONTHLY,1,679,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,2.3942805003,2.3942805003,21272.0567381161,2.3942805003,8.0730710000
1,0.145038167939,1,MONTHLY,1,685,INC,56.8199018007,56.8199018310,1.0000000005,-0.0000000303,49.9087300000,49.9087300000,16439.8737374721,3.7231992050,3.7231992050
1,0.145038167939,1,MONTHLY,1,685,DEC,47.5144494997,47.5144494997,1.0000000000,0.0000000000,49.9087300000,49.9087300000,16439.8737374721,3.7231992050,3.7231992050
1,0.145038167939,1,MONTHLY,1,691,INC,86.8855338007,86.8855338310,1.0000000003,-0.0000000303,19.8430980000,19.8430980000,11920.6641811081,2.9203054324,2.9203054324
1,0.145038167939,1,MONTHLY,1,691,DEC,17.4488174997,17.4488174997,1.0000000000,0.0000000000,19.8430980000,19.8430980000,11920.6641811081,2.9203054324,2.9203054324
1,0.145038167939,1,MONTHLY,4,1,INC,18.2752499258,18.2752499258,1.0000000000,-0.0000000000,89.0519520000,89.0519520000,13515.5000000000,5.0328349536,73.2737329536
1,0.145038167939,1,MONTHLY,4,1,DEC,86.6576714997,86.6576714997,1.0000000000,0.0000000000,89.0519520000,89.0519520000,13515.5000000000,5.0328349536,73.2737329536
1,0.145038167939,1,MONTHLY,4,7,INC,18.2752499258,18.2752499258,1.0000000000,-0.0000000000,89.0519520000,89.0519520000,12687.5008449402,5.0328349536,114.8234209536
1,0.145038167939,1,MONTHLY,4,7,DEC,86.6576714997,86.6576714997,1.0000000000,0.0000000000,89.0519520000,89.0519520000,12687.5008449402,5.0328349536,114.8234209536
1,0.145038167939,1,MONTHLY,4,13,INC,18.2752499258,18.2752499258,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11859.5016898803,5.0328349536,117.0502499536
1,0.145038167939,1,MONTHLY,4,13,DEC,86.6576714997,86.6576714997,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11859.5016898803,5.0328349536,117.0502499536
1,0.145038167939,1,MONTHLY,4,19,INC,18.2752499258,18.2752499258,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11031.5025348204,5.0328349536,138.6107629536
1,0.145038167939,1,MONTHLY,4,19,DEC,86.6576714997,86.6576714997,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11031.5025348204,5.0328349536,138.6107629536
